rfp_id,spec_rel_pos,wc_long,spec_in_512
RFP_0001,0.7430891165667891,806,False
RFP_0002,0.12295560747663552,570,True
RFP_0003,0.9863117870722433,622,False
RFP_0004,0.9275158339197748,1061,False
RFP_0005,0.9911390595969701,1115,False
RFP_0006,0.9834528405956977,568,False
RFP_0007,0.992862807295797,1214,False
RFP_0008,0.9869604316546763,684,False
RFP_0009,0.6791646891314665,666,False
RFP_0010,0.17557764642665233,1194,True
RFP_0011,0.86281179138322,556,False
RFP_0012,0.9908108979526036,979,False
RFP_0013,0.7543904301348944,633,False
RFP_0014,0.8209039548022599,823,False
RFP_0015,0.7564427827480305,1192,False
RFP_0016,0.9861762527770921,623,False
RFP_0017,0.0,700,True
RFP_0018,0.6091589496384625,1260,False
RFP_0019,0.7584298806847657,922,False
RFP_0020,0.2818216707176666,1247,True
RFP_0021,0.08111702127659574,839,True
RFP_0022,0.6527726088574618,834,False
RFP_0023,0.06290637191157347,969,True
RFP_0024,0.6416621694549379,1145,False
RFP_0025,0.3025224907391074,907,True
RFP_0026,0.9395377888819488,1253,False
RFP_0027,0.9871289184139506,764,False
RFP_0028,0.984781405644715,558,False
RFP_0029,0.8563287342531494,1025,False
RFP_0030,0.9917247386759582,1067,False
RFP_0031,0.9927404718693285,1249,False
RFP_0032,0.18848526387936942,694,True
RFP_0033,0.9882442169131589,794,False
RFP_0034,0.5011542901115814,805,False
RFP_0035,0.9861514406968952,720,False
RFP_0036,0.9900048363694987,967,False
RFP_0037,0.18624398528163033,1093,True
RFP_0038,0.6274963212108472,767,False
RFP_0039,0.0,557,True
RFP_0040,0.3037740217642973,706,True
RFP_0041,0.9837215126471325,622,False
RFP_0042,0.091715379963717,747,True
RFP_0043,0.06023408506994005,1062,True
RFP_0044,0.9886706948640483,857,False
RFP_0045,0.550188679245283,1259,False
RFP_0046,0.8856490872210954,615,False
RFP_0047,0.9928247734138973,1246,False
RFP_0048,0.08290965975752836,778,True
RFP_0049,0.9865319865319865,688,False
RFP_0050,0.2471379507727533,1105,True
RFP_0051,0.0,1028,True
RFP_0052,0.336283185840708,827,True
RFP_0053,0.1986501687289089,703,True
RFP_0054,0.44561140285071266,1194,False
RFP_0055,0.9888654252255711,807,False
RFP_0056,0.37779702612963767,1101,False
RFP_0057,0.9857872529424828,692,False
RFP_0058,0.0,881,True
RFP_0059,0.9910862668076749,1085,False
RFP_0060,0.8868284008637114,1237,False
RFP_0061,0.9342889582741981,1119,False
RFP_0062,0.991311093871218,1041,False
RFP_0063,0.301753901394835,1154,True
RFP_0064,0.26818384649709953,1083,True
RFP_0065,0.13717483363581368,1024,True
RFP_0066,0.0,952,True
RFP_0067,0.8375021864614308,904,False
RFP_0068,0.9852829231159604,602,False
RFP_0069,0.0,1005,True
RFP_0070,0.623235835549192,772,False
RFP_0071,0.10511820059674087,694,True
RFP_0072,0.9812041116005874,535,False
RFP_0073,0.9920614263404477,1206,False
RFP_0074,0.3879045594141271,671,True
RFP_0075,0.9918355855855856,1095,False
RFP_0076,0.06745713827912193,1000,True
RFP_0077,0.24438122332859175,570,True
RFP_0078,0.9840380845701484,555,False
RFP_0079,0.11297283574511298,629,True
RFP_0080,0.1074233595135546,630,True
RFP_0081,0.7562767094017094,1157,False
RFP_0082,0.6184840800225415,557,True
RFP_0083,0.6563775510204082,608,False
RFP_0084,0.9929521276595744,1189,False
RFP_0085,0.0,544,True
RFP_0086,0.3808326348141939,530,True
RFP_0087,0.909261694533158,838,False
RFP_0088,0.9891990461495301,1119,False
RFP_0089,0.1721362229102167,747,True
RFP_0090,0.07782395164336985,860,True
RFP_0091,0.9863336475023563,668,False
RFP_0092,0.6244420828905419,739,False
RFP_0093,0.4114877589453861,833,True
RFP_0094,0.424677395969262,1117,False
RFP_0095,0.5004755564009892,821,False
